state,county_id,county_name,icu_beds,population
Alabama,01029,Cleburne,0,14939
Virginia,51161,Roanoke,0,93419
Texas,48105,Crockett,0,3836
Michigan,26165,Wexford,6,32915
Tennessee,47031,Coffee,14,54074
Vermont,50013,Grand Isle,0,6950
North Carolina,37071,Gaston,74,214049
Indiana,18167,Vigo,54,107723
Colorado,08039,Elbert,0,24553
Georgia,13047,Catoosa,0,65870
West Virginia,54081,Raleigh,43,77097
Kentucky,21179,Nelson,4,45131
Wisconsin,55079,Milwaukee,381,956586
Colorado,08033,Dolores,0,1736
Florida,12075,Levy,0,39713
Wisconsin,55019,Clark,0,34513
North Carolina,37007,Anson,0,25531
Virginia,51181,Surry,0,6670
North Carolina,37135,Orange,13,141812
Indiana,18135,Randolph,0,25203
Michigan,26073,Isabella,8,70572
South Dakota,46073,Jerauld,0,2034
Montana,30043,Jefferson,0,11625
Minnesota,27105,Nobles,0,21854
Wisconsin,55049,Iowa,0,23576
Wisconsin,55029,Door,4,27443
Massachusetts,25021,Norfolk,59,694389
Maine,23003,Aroostook,12,68840
Virginia,51115,Mathews,0,8830
Texas,48335,Mitchell,0,8774
Maine,23013,Knox,8,39700
Iowa,19107,Keokuk,0,10223
Texas,48331,Milam,0,24479
Wisconsin,55077,Marquette,0,15164
Arkansas,05117,Prairie,0,8309
Alabama,01013,Butler,7,20126
Georgia,13005,Bacon,4,11279
Nebraska,31057,Dundy,0,2017
North Carolina,37073,Gates,0,11601
Washington,53059,Skamania,0,11498
Tennessee,47025,Claiborne,5,31566
Kentucky,21197,Powell,0,12349
Colorado,08087,Morgan,6,28123
Maryland,24045,Wicomico,24,102014
Kentucky,21099,Hart,0,18531
South Carolina,45091,York,24,251664
Arkansas,05139,Union,16,40022
Tennessee,47015,Cannon,0,13839
Nevada,32001,Churchill,0,24022
Texas,48139,Ellis,18,164092
Mississippi,28135,Tallahatchie,0,14552
Georgia,13035,Butts,0,23556
Indiana,18123,Perry,4,19229
Hawaii,15007,Kauai,9,71093
Iowa,19007,Appanoose,3,12547
Kentucky,21073,Franklin,10,49969
Ohio,39137,Putnam,0,34037
New Jersey,34021,Mercer,92,373362
Illinois,17109,McDonough,7,31597
Missouri,29197,Schuyler,0,4450
Iowa,19135,Monroe,0,7912
Minnesota,27075,Lake,0,10578
Tennessee,47033,Crockett,0,14554
Minnesota,27085,McLeod,6,35816
Florida,12133,Washington,0,24472
Minnesota,27101,Murray,0,8394
New Jersey,34007,Camden,199,510996
Missouri,29195,Saline,7,23010
Nebraska,31137,Phelps,0,9163
Texas,48383,Reagan,0,3735
Illinois,17129,Menard,0,12416
Iowa,19029,Cass,4,13327
Ohio,39055,Geauga,12,93895
North Carolina,37169,Stokes,0,46124
Texas,48471,Walker,6,70818
Arkansas,05065,Izard,0,13521
North Carolina,37023,Burke,16,88898
Iowa,19013,Black Hawk,24,132960
Arkansas,05105,Perry,0,10320
Iowa,19057,Des Moines,12,39876
Texas,48273,Kleberg,10,31540
Oklahoma,40121,Pittsburg,15,44673
Florida,12005,Bay,77,180117
Kansas,20185,Stafford,0,4251
Minnesota,27051,Grant,0,5923
Oklahoma,40153,Woodward,6,21140
Georgia,13239,Quitman,0,2140
Indiana,18111,Newton,0,14056
Colorado,08059,Jefferson,94,564029
Kansas,20191,Sumner,0,23336
Maine,23009,Hancock,6,54468
Kansas,20013,Brown,0,9736
New Hampshire,33017,Strafford,17,126552
Delaware,10003,New Castle,119,555036
New Mexico,35006,Cibola,4,27049
Ohio,39117,Morrow,3,34935
Wisconsin,55123,Vernon,0,30378
Pennsylvania,42111,Somerset,14,75619
Texas,48191,Hall,0,3102
Louisiana,22121,West Baton Rouge,0,25518
North Carolina,37103,Jones,0,9776
California,06071,San Bernardino,410,2121220
Kansas,20055,Finney,8,37097
New York,36015,Chemung,20,86883
